id,name,status,updated_date,species,frames_with_fish,number_of_tracks,time_of_day,train_set
766558,Coonamassett_2024-05-07_05-14-34_268.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,102,1,night,train
766559,Coonamassett_2024-05-08_05-03-30_180.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,36,2,night,val
766560,Coonamassett_2024-05-08_05-29-36_107.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,19,2,night,train
766562,Coonamassett_2024-05-10_05-12-46_323.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,65,2,night,train
766564,Coonamassett_2024-05-11_05-39-47_354.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,46,1,dawn,train
766570,Coonamassett_2024-05-08_11-22-08_536.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,48,2,day,train
766572,Coonamassett_2024-05-09_11-08-00_541.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,43,3,day,val
766574,Coonamassett_2024-05-09_14-18-31_492.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,9,1,day,train
766575,Coonamassett_2024-05-09_14-57-59_217.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,73,3,day,val
766576,Coonamassett_2024-05-10_10-36-53_254.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,10,2,day,train
766577,Coonamassett_2024-05-10_10-37-07_605.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,14,1,day,test
766579,Coonamassett_2024-05-12_08-51-22_667.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,54,1,day,train
766580,Coonamassett_2024-05-06_10-04-19_885.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,92,13,day,val
766582,Coonamassett_2024-05-06_10-06-32_748.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,52,4,day,test
766583,Coonamassett_2024-05-06_10-22-07_329.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,85,8,day,train
766584,Coonamassett_2024-05-06_10-51-00_490.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,48,2,day,train
766585,Coonamassett_2024-05-06_18-05-16_700.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,66,4,day,train
766586,Coonamassett_2024-05-06_18-05-34_985.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,6,1,day,train
766587,Coonamassett_2024-05-07_07-18-38_262.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,122,36,day,test
766602,Coonamassett_2024-05-06_20-01-30_496.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,50,1,night,train
766604,Coonamassett_2024-05-06_20-03-05_995.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,46,3,night,train
766607,Coonamassett_2024-05-06_20-06-42_085.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,77,2,night,train
766611,Coonamassett_2024-05-06_20-16-35_298.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,56,4,night,train
766614,Coonamassett_2024-05-09_19-21-00_948.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,43,3,day,test
766617,Coonamassett_2024-05-09_19-34-49_673.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,13,1,night,train
766620,Coonamassett_2024-05-10_05-00-01_342.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,22,1,night,train
766622,Coonamassett_2024-05-10_05-03-25_342.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,18,1,night,train
766625,Coonamassett_2024-05-10_20-55-32_246.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,26,3,night,val
766627,Coonamassett_2024-05-06_05-00-15_535.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,11,1,night,train
766628,Coonamassett_2024-05-06_05-06-41_203.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,8,1,night,train
766631,Coonamassett_2024-05-06_05-07-09_165.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,27,1,night,train
766633,Coonamassett_2024-05-07_21-22-40_794.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,39,1,night,train
766635,Coonamassett_2024-05-07_21-33-33_832.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,48,1,night,train
766637,Coonamassett_2024-05-08_01-05-47_771.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,75,2,night,train
766639,Coonamassett_2024-05-08_22-00-37_859.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,24,1,night,train
766642,Coonamassett_2024-05-08_22-55-26_549.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,30,1,night,train
766646,Coonamassett_2024-05-09_20-11-05_976.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,40,1,night,train
766649,Coonamassett_2024-05-10_02-05-23_991.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,25,1,night,train
780025,Coonamassett_2024-05-13_12-38-50_540.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,43,1,day,train
780026,Coonamassett_2024-05-13_13-17-23_109.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,20,1,day,train
780027,Coonamassett_2024-05-14_08-48-11_778.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,21,1,day,val
780028,Coonamassett_2024-05-14_08-49-56_613.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,28,1,day,train
780029,Coonamassett_2024-05-17_12-00-01_644.mp4,completed,2024-11-20T02:15:27.198581Z,Unknown Fish,8,2,day,train
780030,Coonamassett_2024-05-17_12-24-21_688.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,22,1,day,train
780031,Coonamassett_2024-05-17_12-34-25_324.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,41,2,day,test
780032,Coonamassett_2024-05-17_12-57-27_895.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,23,1,day,train
780033,Coonamassett_2024-05-19_05-50-40_909.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,5,1,day,train
780034,Coonamassett_2024-05-13_20-05-10_316.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,63,9,night,train
780036,Coonamassett_2024-05-19_04-26-54_502.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,13,1,night,train
780040,Coonamassett_2024-05-13_20-03-19_409.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,7,1,night,train
780041,Coonamassett_2024-05-13_20-03-09_599.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,52,5,night,train
780046,Coonamassett_2024-05-13_20-51-26_606.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,30,3,night,train
