id,name,status,updated_date,species,frames_with_fish,number_of_tracks,time_of_day,train_set
541384,3_2015-04-21_17-13-33.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,15,1,day,train
541385,3_2015-04-21_17-22-29.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,16,1,day,train
541386,3_2015-04-21_18-51-01.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,22,1,day,train
541388,3_2015-04-22_22-41-53.mp4,completed,2024-11-19T04:24:29.969167Z,Unknown Fish,11,1,night,train
541389,3_2015-04-23_01-34-23.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,11,2,night,train
541391,3_2015-04-23_10-47-44.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,9,1,day,train
541392,3_2015-04-23_12-04-07.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,15,1,day,test
541393,3_2015-04-23_14-35-24.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,12,1,day,train
541395,3_2015-04-23_15-02-11.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,16,1,day,train
541396,3_2015-04-23_17-26-30.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,8,1,day,train
541397,3_2015-04-24_15-29-29.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,10,1,day,train
541399,3_2015-04-25_11-29-06.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,8,1,day,train
541400,3_2015-04-25_13-50-12.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,17,1,day,train
541401,3_2015-04-25_15-40-17.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,14,1,day,train
541402,3_2015-04-25_16-17-37.mp4,completed,2024-11-13T18:39:51.934051Z,River Herring,14,2,day,test
541403,3_2015-04-28_18-28-05.mp4,completed,2024-11-13T18:47:18.621762Z,River Herring,24,2,day,train
541404,3_2015-04-28_19-15-09.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,18,2,night,train
541406,3_2015-04-29_07-44-18.mp4,completed,2024-11-13T18:43:18.406296Z,River Herring,9,1,day,test
541407,3_2015-04-29_13-30-50.mp4,completed,2024-11-06T15:17:50.240866Z,Bass,22,1,day,train
541408,3_2015-04-29_19-46-30.mp4,completed,2024-11-13T18:49:10.857625Z,River Herring,10,1,night,train
541409,3_2015-04-30_21-28-38.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,11,1,night,val
541410,3_2015-05-01_07-36-01.mp4,completed,2024-11-13T18:41:47.304513Z,River Herring,13,1,day,train
541411,3_2015-05-01_16-20-26.mp4,completed,2024-11-06T15:17:50.240866Z,Perch,33,1,day,train
