id,name,status,updated_date,species,frames_with_fish,number_of_tracks,time_of_day,train_set
848402,Santuit_2024-04-28_05-30-12_135.mp4,completed,2024-08-12T21:02:38.812343Z,River Herring,25,1,night,train
848403,Santuit_2024-04-28_05-32-31_320.mp4,completed,2024-08-12T21:05:29.136230Z,River Herring,14,2,night,train
848404,Santuit_2024-04-29_05-24-44_006.mp4,completed,2024-08-12T21:08:35.303724Z,River Herring,18,2,night,train
848405,Santuit_2024-04-29_05-05-42_404.mp4,completed,2024-08-12T21:10:59.745560Z,River Herring,20,1,night,train
848406,Santuit_2024-04-29_05-14-19_821.mp4,completed,2024-08-12T21:12:58.146678Z,River Herring,5,1,night,train
848407,Santuit_2024-04-29_05-20-29_100.mp4,completed,2024-08-12T21:58:03.554246Z,River Herring,24,2,night,train
848409,Santuit_2024-04-30_05-32-27_536.mp4,completed,2024-08-12T22:17:29.160494Z,River Herring,93,12,night,train
848410,Santuit_2024-04-30_05-12-45_226.mp4,completed,2024-08-12T23:43:30.563239Z,River Herring,14,2,night,train
848412,Santuit_2024-04-30_05-26-07_618.mp4,completed,2024-08-13T03:51:45.258458Z,River Herring,14,3,night,train
848414,Santuit_2024-05-01_05-43-30_160.mp4,completed,2024-08-13T21:03:42.902392Z,River Herring,11,1,dawn,train
848415,Santuit_2024-05-01_05-21-18_835.mp4,completed,2024-08-13T21:01:20.994822Z,River Herring,42,2,night,train
848417,Santuit_2024-05-01_05-28-09_490.mp4,completed,2024-08-13T20:56:06.174262Z,River Herring,12,1,night,train
848418,Santuit_2024-05-01_05-30-25_552.mp4,completed,2024-08-13T20:48:14.824073Z,River Herring,5,1,night,train
848420,Santuit_2024-05-02_05-22-22_934.mp4,completed,2024-08-13T20:53:31.247686Z,River Herring,10,1,night,train
848421,Santuit_2024-05-02_05-17-45_607.mp4,completed,2024-08-13T20:49:59.145914Z,River Herring,3,1,night,test
848423,Santuit_2024-05-03_05-23-56_883.mp4,completed,2024-08-13T21:49:23.876525Z,River Herring,5,1,night,val
848424,Santuit_2024-05-03_05-40-27_533.mp4,completed,2024-08-13T21:58:06.135054Z,River Herring,63,5,dawn,train
848426,Santuit_2024-05-04_05-30-27_338.mp4,completed,2024-08-13T22:04:49.087331Z,River Herring,31,3,night,train
848427,Santuit_2024-05-04_05-09-39_754.mp4,completed,2024-08-14T16:18:44.847343Z,River Herring,17,1,night,train
848428,Santuit_2024-05-04_05-18-02_031.mp4,completed,2024-08-14T16:21:55.607426Z,River Herring,8,1,night,val
848429,Santuit_2024-05-05_05-35-20_275.mp4,completed,2024-08-14T16:34:03.475633Z,River Herring,133,1,dawn,train
848430,Santuit_2024-05-05_05-17-11_355.mp4,completed,2024-08-14T16:35:54.176640Z,River Herring,6,1,night,train
848432,Santuit_2024-05-05_05-32-27_775.mp4,completed,2024-08-14T16:41:51.886559Z,River Herring,39,3,night,train
848433,Santuit_2024-05-06_05-47-25_421.mp4,completed,2024-08-15T05:21:28.119054Z,River Herring,21,1,dawn,train
848434,Santuit_2024-05-06_05-19-51_029.mp4,completed,2024-08-15T05:17:27.776460Z,River Herring,6,1,night,train
848435,Santuit_2024-05-06_05-33-08_704.mp4,completed,2024-08-15T05:24:13.426661Z,River Herring,12,1,dawn,train
848437,Santuit_2024-05-14_05-03-42_357.mp4,completed,2024-08-15T05:30:17.251262Z,River Herring,19,2,night,train
848439,Santuit_2024-05-14_05-01-43_433.mp4,completed,2024-08-15T16:46:11.409726Z,River Herring,25,1,night,train
848440,Santuit_2024-05-15_05-28-17_697.mp4,completed,2024-08-15T16:49:12.743612Z,River Herring,22,1,dawn,train
848441,Santuit_2024-05-15_05-01-42_324.mp4,completed,2024-08-15T16:55:15.609691Z,River Herring,33,1,night,val
848442,Santuit_2024-05-15_05-04-35_369.mp4,completed,2024-08-15T17:09:12.329594Z,River Herring,67,11,night,train
